City ID,City,Country,Max Temp,Desc,Lat,Lng,Hotel Name
409,Ambilobe,MG,74.26,Clouds,-13.2,49.05,Hôtel National
425,Victor Harbor,AU,74.68,Rain,-35.5667,138.6167,Hotel Victor
430,Kununurra,AU,76.98,Clouds,-15.7667,128.7333,Kununurra Country Club Resort
450,Teacapan,MX,76.6,Clouds,22.55,-105.75,illas y Hotel Maria Fernanda
461,Byron Bay,AU,79.18,Clouds,-28.65,153.6167,Lord Byron Resort
463,La Asuncion,VE,77.02,Clouds,11.0333,-63.8628,Hotel La Ciudad
467,Saint-Paul,RE,78.91,Clouds,-21.0096,55.2707,Hôtel d'application
469,Paita,PE,77.58,Clouds,-5.0892,-81.1144,Victor's
471,Port Augusta,AU,74.97,Rain,-32.5,137.7667,Hotel Commonwealth
476,La Cruz,MX,76.06,Clouds,23.9167,-106.9,Hotel Las Palmas
479,Marang,MY,76.91,Clouds,5.2056,103.2059,Hotel Syahirah
490,Sinazongwe,ZM,73.02,Clouds,-17.2614,27.4618,Lake View Lodge
492,La Plata,AR,77.04,Clouds,-34.9215,-57.9545,Hotel Catedral
504,Mogadishu,SO,76.68,Clouds,2.0371,45.3438,SYL Hotel
519,Bitung,ID,74.25,Clouds,1.4451,125.1824,Divers Lodge Lembeh
527,Vazante,BR,75.36,Clouds,-17.9869,-46.9078,Kabana
544,Taltal,CL,72.45,Clouds,-25.4,-70.4833,Hostería Taltal
549,Dargaville,NZ,71.83,Rain,-35.9333,173.8833,Central Hotel
