City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Desc
81,Buta,CD,2.7858,24.73,75.24,42,100,1.34,Clouds
82,Ulladulla,AU,-35.35,150.4667,70.66,83,3,4.54,Clear
83,Hofn,IS,64.2539,-15.2082,34.32,54,41,14.74,Clouds
84,Dogondoutchi,NE,13.6393,4.0287,82.24,10,100,8.16,Clouds
85,La Crosse,US,43.8014,-91.2396,26.73,73,100,20.71,Clouds
86,Bagn,NO,60.8225,9.5521,19.76,92,100,4.52,Clouds
87,Sambava,MG,-14.2667,50.1667,77.07,92,38,2.48,Clouds
88,Yar-Sale,RU,66.8333,70.8333,0.5,99,40,6.46,Clouds
89,Batagay,RU,67.6333,134.6333,-51.74,100,94,1.72,Clouds
90,Nome,US,64.5011,-165.4064,18.16,93,100,18.41,Mist
91,Tazovskiy,RU,67.4667,78.7,10.96,95,96,10.42,Clouds
92,Ponta Do Sol,PT,32.6667,-17.1,61.43,61,26,9.19,Clouds
93,Iqaluit,CA,63.7506,-68.5145,-37.93,90,9,11.52,Clear
94,Kavaratti,IN,10.5669,72.642,79.41,72,59,3.31,Clouds
95,Port Alfred,ZA,-33.5906,26.891,71.19,92,0,1.01,Clear
96,Zhanaozen,KZ,43.3,52.8,28.13,51,13,10.65,Clouds
97,Dudinka,RU,69.4058,86.1778,3.25,94,100,13.4,Clouds
98,Carnarvon,AU,-24.8667,113.6333,74.01,70,0,21.14,Clear
99,Saldanha,ZA,-33.0117,17.9442,64.72,90,0,14.43,Clear
100,Ilo,PE,-17.6394,-71.3375,77.86,65,0,11.5,Clear
101,Lebu,CL,-37.6167,-73.65,61.36,69,6,18.57,Clear
102,San Patricio,US,28.017,-97.5169,60.91,67,100,7.65,Clouds
103,Hovd,MN,48.0056,91.6419,-0.47,77,3,2.55,Clear
104,Salinas,US,36.6777,-121.6555,65.8,55,0,8.05,Clear
105,Tiksi,RU,71.6872,128.8694,-37.07,100,98,2.55,Clouds
106,Seoul,KR,37.5683,126.9778,15.24,43,0,5.37,Clear
107,Taoudenni,ML,22.6783,-3.9836,57.88,16,7,7.49,Clear
108,Torbay,CA,47.6666,-52.7314,37.38,87,90,5.01,Rain
109,Constitucion,CL,-35.3333,-72.4167,66.22,59,0,20.09,Clear
110,Fairbanks,US,64.8378,-147.7164,2.91,83,0,0.0,Clear
111,Lata,PT,40.1629,-8.3327,40.91,80,4,3.51,Clear
112,Ternate,ID,0.8,127.4,78.4,84,95,4.97,Clouds
